Senate_District,Senator,CPA_Communities
SD 19,Monique Limón,"Santa Paula, Oxnard, Camarillo, Ojai"
SD 20,Caroline Menjivar,Los Angeles County 
SD 21,Scott Wilk,Los Angeles County
SD 22,Susan Rubio,Los Angeles County 
SD 23,Rosilicie Ochoa Bogh ,Los Angeles County 
SD 24,Ben Allen,"Agoura Hills, Beverly Hills, Calabasas, Hermosa Beach, Malibu, Manhattan Beach, Redondo Beach, Rolling Hills Estates, Santa Monica, West Hollywood & Westlake Village"
SD 25,Anthony Portantino,"Claremont, Sierra Madre, South Pasadena"
SD 26,Maria Elena Durazo,Los Angeles County 
SD 27,Henry Stern,"Agoura Hills, Calabasas, Malibu, Moorpark, Simi Valley, Thousand Oaks & Westlake Village"
SD 28,Lola Smallwood-Cuevas,"Culver City, Los Angeles County"
SD 30,Bob Archuleta,"Downey, Hawaiian Gardens, Whittier"
SD 33,Lena Gonzalez,"Paramount, Los Angeles County"
SD 34,Tom Umberg,Whittier
SD 35,Steven Bradford,"Carson, Hawthorne"
SD 36,Janet Nguyen,Hawaiian Gardens